"parameter_id","value","unit","notes"
"active_patient_slots","4","residents","畫面同時可服務上限"
"station_types","4","stations","觀察、調製、療護、安撫"
"service_power","3","work_points","每次正確派遣的基準工作量"
"station_cooldown_min","1.2","seconds","快速站點基準"
"station_cooldown_max","2.1","seconds","慢速站點基準"
"flow_window","5","seconds","連續正確派遣的銜接時間"
"skill_charge_per_service","25","percent","四次正確派遣可充滿一次技能"
"skill_charge_cap","100","percent","共用技能充能上限"
"base_shift_seconds","180","seconds","標準三波班次中位數"
"initial_hospital_stability","100","points","降至0提早結束"
"failed_run_coin_retention","60","percent","保留已完成病患的基礎收入"
"comfort_mode_patience_rate","70","percent","相對標準模式"
"focus_mode_patience_rate","115","percent","相對標準模式"
"base_inventory_slots","60","stacks","任務關鍵物不佔容量"
"temporary_overflow_slots","20","stacks","滿倉暫存箱"
"staff_level_cap","30","levels","25級解鎖個人任務"
"pure_stat_growth_cap","160","percent","滿級相對初始約1.6倍"
"common_craft_min","2","minutes","常用藥草下限"
"special_craft_max","45","minutes","特色配方上限"
"urgent_priority_threshold","30","percent_patience","進入急迫排序門檻"
"minimum_spawn_gap","2.5","seconds","避免居民同時湧入"
"maximum_spawn_gap","5.2","seconds","保持班次有節奏"
"target_frame_rate","60","fps","最低硬體核心畫面"
"touch_hit_target","44","css_pixels","所有核心按鈕最低命中區"
