"content_type","greybox","vertical_slice","public_demo","full_release"
"districts","0","1 partial","1","6"
"main_shifts","1","6","12","72"
"side_shifts","0","1","3","36"
"task_types","4","4","4","6"
"staff","1 abstract","3","4","12"
"major_residents","0","2","5","36"
"patient_archetypes","3","6","12","48 variants"
"ailments","0","3","5","30"
"equipment_types","3","4","6","18"
"furniture","0","12","24","180+"
"herbs","0","4","8","24"
"recipes","0","4","10","48"
"story_playtime","0","45-75 minutes","2-3 hours","25-35 hours"

